X,Y
130.2209790630481,289.2263743924146
133.28179597344462,286.78149172901897
137.1325401911448,284.8550055085194
141.21629606380802,283.10989066850595
145.45650575317643,281.6012601279624
149.58168959474233,279.946278383659
153.4367473183625,278.1079270471453
156.7838792753869,275.69932918344307
160.34070207073313,273.504637570324
163.22894100047714,270.7189082161811
165.6811313703689,267.41429368426844
167.76631409793134,263.7967228375898
169.7013931514268,260.01733478258404
171.62373597384604,255.9918814971708
175.16157350658912,253.60242255985673
179.78673657762266,252.27831446561584
185.1371507773608,251.88769643024435
190.25627154862985,251.15635565819773
195.75015839367416,250.94240791989063
200.8173787208504,250.18197202927803
206.5469864270034,250.10005715515211
212.2308242934871,250.05294209444048
217.242158415879,249.34105309492514
222.86503286697345,249.1009912295066
228.63725490196077,249.09999999999997
234.40823703686462,249.09946113719872
239.9035642853025,248.92051880287144
244.9897419828378,248.16891661523152
250.72744674468453,248.10005537428538
256.45145666410167,248.07684469458138
260.88771221987923,247.1577170011134
260.4685370636164,245.11277315831921
255.74963674271496,244.20721290055502
250.40429338020402,243.90211929343323
244.63725490196077,243.90000000000003
238.86503286697342,243.8990087704934
233.242158415879,243.6589469050749
228.2308242934872,242.94705790555952
222.54696721371113,242.90002267182248
216.77450980392155,242.90000000000003
211.00196078431375,242.90000000000003
205.23252139415814,242.89210714461882
199.81938794449846,242.40886445131332
194.66295709018664,241.9093769299651
188.91176470588232,241.9
183.1392156862745,241.9
177.36666666666667,241.9
171.59411764705885,241.9
165.8329844465862,241.88368033890256
161.65464556924155,240.8606749138484
164.72777839973327,239.17664972672608
169.49556347877908,238.29959637492306
172.96958466670014,236.25363689538565
174.06658742421706,231.89216503647518
173.92515532656253,226.48382825898713
171.98872937926905,222.9140806845043
169.2653951942452,219.80273512358497
169.07247554107283,215.52852049038052
171.51098424140412,212.19908699621956
173.40975414871352,208.3902464647032
174.09107368018482,203.53008898092855
174.1,197.77843137254902
174.0962376929558,192.01539878554956
173.6357962453486,186.8832404982785
172.18663491857995,182.54008556022075
171.01898450360565,177.92761558898647
169.90440181093342,173.31461030474688
170.23830837807782,168.9762659101493
172.09502654424315,165.09805824687925
173.50581349284113,160.98527138897506
173.71931365331872,157.43575485220106
172.21612982822697,154.27709022098122
169.342738171315,151.49746463032443
165.70378148196738,149.43652460285415
161.82802488888834,147.56399311438457
157.57505979600063,146.11682742307121
153.05154355821693,144.84385136784238
148.7129169187405,143.40477887310894
144.32543982134573,142.05186285474105
139.81058695540088,140.7658243115126
135.47553263080354,139.3228976925063
131.29760305010183,137.67032232905203
129.2131368379647,134.8855997723379
131.90197107161922,132.1292028173746
135.80372912300908,130.10057008885866
139.88903153290224,128.48205840755085
144.05179227255604,126.82014746901848
148.2208608560636,125.26309922979527
152.0868943697126,123.37317417171326
155.89170420734717,121.4268444135575
159.2416447212554,119.06008963775663
162.48072921498306,116.56536191672618
165.22770324465156,113.62363135382442
167.25700140541377,109.91820392522652
169.30976506043208,106.2218524844966
171.58678429925445,102.63087416044448
174.7349570793342,99.8645951969599
178.93541117329335,98.19620955494703
183.82424795797152,97.17043765891826
188.9221880061777,96.57105801581835
194.35368925920136,96.1070746525853
200.04893652955636,96.06166915408768
205.06605265445032,95.36705661189289
210.66910577715865,95.10140241179042
216.4395437967189,95.0994369225495
221.93024401672977,94.91671601325115
227.01971820231378,94.16664610844082
232.75883496101102,94.10005331557635
238.5313602626025,94.09999863484254
244.26526541894737,94.08168402371471
249.34579269014435,93.4896564714945
254.84779146563494,93.10288767294456
260.08209245391026,92.77892951172186
261.2941241970959,90.58666955969443
256.8232287940194,89.90034245509592
251.33200781044474,89.5079971197093
246.2501875187934,88.91798883663348
240.51567435079141,88.90000132485761
234.74313725490197,88.9
228.9708334954735,88.89923080892669
223.33956629682814,88.67096312144551
218.3290436860098,87.95177051776902
212.65283631095335,87.90002656266903
206.88039215686285,87.9
201.10784313725503,87.9
195.33545523631062,87.899479982397
189.67508233120833,87.71235231116654
184.66735492692084,86.96800284871281
179.017488875853,86.90004254969831
173.2450980392157,86.9
167.47254901960787,86.9
161.7009464552395,86.89838833926143
156.49407437932805,86.51431829501797
157.95453704292345,85.20405666695
163.27327829898115,84.86768144973584
168.23104934109796,84.04142391734169
172.90634419525378,83.02684259567005
175.83321047065903,80.61412317498323
176.09635010097185,75.29855729016556
175.60694339712472,70.24478986940971
173.17296775417833,67.06959939928056
170.74310648204613,63.64900222994368
171.85254749235324,59.585793309591566
174.08251844799932,56.130073283114555
